Date,Time,MMSI,SPEED,Longitude,Latitude,COG
2021-04-19,15:11:28,212054000,8,120.24524,31.93625,254
2021-04-19,15:11:48,212054000,8.1,120.2443467,31.93601,254
2021-04-19,15:12:09,212054000,8.2,120.2434933,31.93578,254
2021-04-19,15:12:28,212054000,8.3,120.24264,31.93556,254
2021-04-19,15:12:48,212054000,8.4,120.24184,31.93536,254
2021-04-19,15:13:09,212054000,8.5,120.2409067,31.93513,254
2021-04-19,15:13:28,212054000,8.5,120.2399467,31.9349,254
2021-04-19,15:13:48,212054000,8.6,120.2390933,31.9347,255
2021-04-19,15:14:09,212054000,8.6,120.2380667,31.9344,257
2021-04-19,15:14:39,212054000,8.7,120.23676,31.93411,259
2021-04-19,15:14:58,212054000,8.7,120.23588,31.93393,260
2021-04-19,15:15:18,212054000,8.8,120.23488,31.93375,260
2021-04-19,15:15:39,212054000,8.9,120.23388,31.9336,260
2021-04-19,15:15:58,212054000,9,120.2330533,31.93346,260
2021-04-19,15:16:18,212054000,9,120.2320533,31.93333,261
2021-04-19,15:16:39,212054000,9,120.2309733,31.93316,262
2021-04-19,15:16:58,212054000,9.1,120.2300533,31.93306,262
2021-04-19,15:17:18,212054000,9.1,120.2291067,31.93295,262
2021-04-19,15:17:39,212054000,9.1,120.2280133,31.93283,262
2021-04-19,15:17:58,212054000,9,120.2271867,31.93273,262
2021-04-19,15:18:18,212054000,9,120.2261067,31.93261,262
2021-04-19,15:18:39,212054000,8.7,120.2252,31.9325,263
2021-04-19,15:18:58,212054000,8.5,120.2242533,31.9324,262
2021-04-19,15:19:18,212054000,8.4,120.2233067,31.9323,262
2021-04-19,15:19:39,212054000,8.2,120.2224533,31.9322,263
2021-04-19,15:19:58,212054000,8,120.2215867,31.93208,264
2021-04-19,15:20:18,212054000,7.9,120.22064,31.932,265
2021-04-19,15:20:39,212054000,7.7,120.21984,31.93195,265
2021-04-19,15:20:58,212054000,7.6,120.2190933,31.93188,265
2021-04-19,15:21:18,212054000,7.4,120.21828,31.93181,265
2021-04-19,15:21:39,212054000,7.2,120.2174133,31.93176,265
2021-04-19,15:21:58,212054000,7.2,120.2166133,31.9317,265
2021-04-19,15:22:19,212054000,7,120.2157733,31.93163,265
2021-04-19,15:22:39,212054000,6.9,120.21512,31.93158,266
2021-04-19,15:22:58,212054000,6.8,120.2143867,31.9315,268
2021-04-19,15:23:19,212054000,6.7,120.2136533,31.93143,270
2021-04-19,15:23:39,212054000,6.5,120.2128533,31.93141,270
2021-04-19,15:23:59,212054000,6.5,120.21212,31.93141,270
2021-04-19,15:24:49,212054000,6.4,120.2103867,31.93143,270
2021-04-19,15:25:09,212054000,6.6,120.2096,31.93145,270
2021-04-19,15:25:39,212054000,6.7,120.2085067,31.93145,270
2021-04-19,15:25:59,212054000,6.7,120.2078,31.93146,270
2021-04-19,15:26:20,212054000,6.8,120.2070533,31.93146,271
2021-04-19,15:26:39,212054000,6.7,120.2062933,31.93148,271
2021-04-19,15:26:59,212054000,6.8,120.20552,31.93151,271
2021-04-19,15:27:20,212054000,7,120.20472,31.9315,270
2021-04-19,15:27:39,212054000,6.9,120.2039467,31.93153,270
2021-04-19,15:27:58,212054000,6.9,120.2033067,31.93155,270
2021-04-19,15:28:20,212054000,7,120.2024667,31.93156,270
2021-04-19,15:28:39,212054000,6.8,120.2017067,31.93156,271
2021-04-19,15:28:58,212054000,6.7,120.2010533,31.93158,271
2021-04-19,15:29:20,212054000,6.6,120.2002533,31.93161,270
2021-04-19,15:29:39,212054000,6.5,120.1996,31.93166,270
2021-04-19,15:29:58,212054000,6.3,120.1989067,31.93166,270
2021-04-19,15:30:20,212054000,6.3,120.1981467,31.93166,270
2021-04-19,15:30:49,212054000,6.2,120.1971467,31.93166,271
2021-04-19,15:31:08,212054000,6.1,120.19652,31.93168,270
2021-04-19,15:31:38,212054000,6,120.19556,31.9317,270
2021-04-19,15:31:58,212054000,6.1,120.19484,31.9317,270
2021-04-19,15:32:20,212054000,6.2,120.1941067,31.9317,270
2021-04-19,15:32:38,212054000,6.3,120.19352,31.9317,270
2021-04-19,15:32:59,212054000,6.3,120.1927867,31.9317,270
2021-04-19,15:33:20,212054000,6.4,120.1920533,31.9317,270
2021-04-19,15:33:38,212054000,6.2,120.1914,31.93168,270
2021-04-19,15:33:59,212054000,6.2,120.1907067,31.93166,270
2021-04-19,15:34:20,212054000,6.3,120.1899467,31.93166,271
2021-04-19,15:34:38,212054000,6.3,120.18936,31.93166,271
2021-04-19,15:34:59,212054000,6.3,120.1886133,31.93165,271
2021-04-19,15:35:20,212054000,6.4,120.18796,31.93165,270
2021-04-19,15:35:38,212054000,6.6,120.1872533,31.93165,270
2021-04-19,15:35:59,212054000,6.5,120.1865467,31.93165,270
2021-04-19,15:36:38,212054000,6.5,120.1851067,31.93166,270
2021-04-19,15:36:58,212054000,6.6,120.1844,31.93166,270
2021-04-19,15:37:18,212054000,6.6,120.1835867,31.9317,268
2021-04-19,15:37:38,212054000,6.6,120.1829467,31.93171,266
2021-04-19,15:37:58,212054000,6.4,120.1822133,31.93176,266
2021-04-19,15:38:18,212054000,6.6,120.18152,31.93168,265
2021-04-19,15:38:39,212054000,6.6,120.1807467,31.93161,265
2021-04-19,15:39:18,212054000,6.6,120.1793467,31.93145,265
2021-04-19,15:39:39,212054000,6.6,120.1785733,31.93136,265
2021-04-19,15:39:58,212054000,6.6,120.1779067,31.9313,265
2021-04-19,15:40:19,212054000,6.9,120.17716,31.93123,265
2021-04-19,15:40:39,212054000,6.6,120.1763867,31.93111,265
2021-04-19,15:41:00,212054000,6.6,120.1756667,31.93101,265
2021-04-19,15:41:19,212054000,6.6,120.17504,31.93095,265
2021-04-19,15:41:39,212054000,6.6,120.1743067,31.93086,265
2021-04-19,15:42:00,212054000,6.5,120.17352,31.93076,265
2021-04-19,15:42:28,212054000,6.6,120.17248,31.93065,266
2021-04-19,15:42:49,212054000,6.6,120.17172,31.93055,266
2021-04-19,15:43:19,212054000,6.5,120.17068,31.93041,266
2021-04-19,15:43:39,212054000,6.4,120.1699867,31.93033,266
2021-04-19,15:43:59,212054000,6.4,120.16928,31.93025,266
2021-04-19,15:44:19,212054000,6.4,120.1685733,31.93015,266
2021-04-19,15:44:39,212054000,6.4,120.16788,31.93006,269
2021-04-19,15:44:59,212054000,6.3,120.16724,31.92995,270
2021-04-19,15:45:19,212054000,6.2,120.16652,31.9299,270
2021-04-19,15:45:39,212054000,6.2,120.1658,31.9299,271
2021-04-19,15:45:58,212054000,6.3,120.16516,31.9299,271
2021-04-19,15:46:19,212054000,6.3,120.16448,31.9299,271
2021-04-19,15:46:58,212054000,6,120.16312,31.92995,271
2021-04-19,15:47:19,212054000,5.7,120.1624533,31.92995,271
2021-04-19,15:47:58,212054000,5.5,120.1612667,31.92998,268
2021-04-19,15:48:19,212054000,5.2,120.16064,31.93001,266
2021-04-19,15:48:49,212054000,5,120.1598133,31.93,264
2021-04-19,15:49:09,212054000,4.8,120.15928,31.92995,263
2021-04-19,15:49:29,212054000,4.7,120.1587467,31.92986,262
2021-04-19,15:49:49,212054000,4.6,120.15828,31.92978,262
2021-04-19,15:50:19,212054000,4.3,120.1575867,31.92963,263
2021-04-19,15:50:49,212054000,4,120.15692,31.92946,265
